Species,Accession,Rep ,Fruit_num,Date_collected,Diameter_mm,Height_mm,Diam_hgt_ratio,Fresh_weight_grams,notes
SC,31,A,06,2020-09-05,13.63,12.47,1.09,1.3171,
SC,31,A,07,2020-09-08,15.41,14.25,1.08,1.8471,
SC,31,A,08,2020-09-08,13.79,12.56,1.10,1.2803,
SC,31,C,01,2020-08-26,12.67,11.56,1.10,1.0236,
SC,31,C,02,2020-08-26,13.78,12.28,1.12,1.2471,
SC,31,C,03,2020-08-28,14.24,12.84,1.11,1.4051,
SC,31,C,04,2020-08-28,14.75,13.36,1.10,1.5918,
SC,31,C,05,2020-09-06,14.04,12.88,1.09,1.4189,
SC,31,C,06,2020-09-06,14.87,13.76,1.08,1.6932,
SC,31,C,07,2020-09-06,14.66,13.53,1.08,1.5585,
SC,31,C,08,2020-09-12,14.38,12.93,1.11,1.4412,
SCH,06,A,01,2020-06-30,14.72,12.51,1.18,1.4235,
SCH,06,A,02,2020-06-30,14.18,11.82,1.20,1.2368,
SCH,06,A,03,2020-06-30,14.33,12.59,1.14,1.4128,
SCH,06,A,04,2020-07-03,13.53,12.19,1.11,1.1929,
SCH,06,A,05,2020-07-03,13.13,11.40,1.15,1.1023,
SCH,06,A,06,2020-07-22,14.92,11.86,1.26,1.3941,
SCH,06,A,07,2020-07-22,15.06,12.91,1.17,1.5573,
SCH,06,A,08,2020-07-30,14.91,12.44,1.20,1.3975,
SCH,06,A,09,2020-07-30,14.49,12.15,1.19,1.2862,
SCH,06,B,01,2020-06-30,18.39,14.82,1.24,2.4456,
SCH,06,B,02,2020-06-30,18.69,15.43,1.21,2.6280,
SCH,06,B,03,2020-07-22,15.73,13.28,1.18,1.6355,
SCH,06,B,04,2020-07-22,14.83,12.37,1.20,1.2941,not ripe because seeds still green
SCH,06,B,05,2020-07-22,15.37,13.19,1.17,1.5447,
SCH,06,B,06,2020-09-01,16.12,13.89,1.16,1.8729,
SCH,06,B,07,2020-09-01,14.21,12.46,1.14,1.0379,
SCH,06,C,02,2020-07-07,15.32,13.36,1.15,1.6202,
SCH,06,C,03,2020-07-07,14.73,12.35,1.19,1.4175,
SCH,06,C,04,2020-07-10,15.61,13.81,1.13,1.7302,may not be fully ripe since seeds are green rather than brown
SCH,06,C,05,2020-07-10,12.92,11.12,1.16,0.9858,"seeds are brown, which may be an indication of full ripeness in this species and possibly a few other species?"
SCH,06,C,06,2020-07-14,14.21,12.66,1.12,1.3031,
SCH,06,C,07,2020-08-28,13.49,11.26,1.20,1.0564,"fully brown calyx, slight soft. Seeds all green so may not be fully ripe."
SCH,06,C,08,2020-08-28,13.78,11.19,1.23,1.1019,"fully brown calyx, slight soft. Seeds all green so may not be fully ripe."
SCH,06,C,09,2020-09-15,17.65,15.85,1.11,2.5767,"fully brown calyx, slightly soft, stem cluster was dead so fruit may not be fully developed"
SCH,06,C,10,2020-09-15,13.45,12.54,1.07,1.2083,"fully brown calyx, farily soft, seems small, stem cluster was dead so fruit may not be fully developed"
